tag,metric,time,value
1,0,0,1
1,0,1,0.8775825619
1,0,2,0.5403023059
1,0,3,0.0707372017
1,0,4,-0.4161468365
1,0,5,-0.8011436155
1,0,6,-0.9899924966
1,0,7,-0.9364566873
1,0,8,-0.6536436209
1,0,9,-0.2107957994
1,0,10,0.2836621855
1,0,11,0.7086697743
1,0,12,0.9601702867
1,0,13,0.9765876257
1,0,14,0.7539022543
1,0,15,0.3466353178
1,0,16,-0.1455000338
1,0,17,-0.6020119027
1,0,18,-0.9111302619
1,0,19,-0.9971721562
1,0,20,-0.8390715291
1,0,21,-0.475536928
1,0,22,0.004425698
1,0,23,0.4833047588
1,0,24,0.8438539587
1,0,25,0.9977982792
1,0,26,0.9074467815
1,0,27,0.5949206633
1,0,28,0.1367372182
1,0,29,-0.3549242668
1,0,30,-0.7596879129
1,0,31,-0.9784534628
1,0,32,-0.9576594803
1,0,33,-0.7023970575
1,0,34,-0.2751633381
1,0,35,0.2194399632
1,0,36,0.6603167082
1,0,37,0.9395248937
1,0,38,0.9887046182
1,0,39,0.7958149698
1,0,40,0.4080820618
1,0,41,-0.0795635673
1,0,42,-0.5477292602
1,0,43,-0.8817917275
1,0,44,-0.9999608264
1,0,45,-0.8733046401
1,0,46,-0.5328330203
1,0,47,-0.061905294
1,0,48,0.4241790073
1,0,49,0.8064094939
1,0,50,0.9912028119
1,0,51,0.9333151121
1,0,52,0.6469193223
1,0,53,0.2021351204
1,0,54,-0.2921388087
1,0,55,-0.7148869688
1,0,56,-0.9626058663
1,0,57,-0.9746452757
1,0,58,-0.7480575297
1,0,59,-0.338319211
1,0,60,0.1542514499
1,0,61,0.6090559761
1,0,62,0.9147423578
1,0,63,0.9964679076
1,0,64,0.8342233605
1,0,65,0.4677318402
1,0,66,-0.0132767472
1,0,67,-0.4910347239
1,0,68,-0.8485702748
1,0,69,-0.9983462274
1,0,70,-0.9036922051
1,0,71,-0.5877828136
1,0,72,-0.1279636896
1,0,73,0.3631854084
1,0,74,0.7654140519
1,0,75,0.9802426408
1,0,76,0.955073644
1,0,77,0.6960693099
1,0,78,0.2666429324
1,0,79,-0.2280669345
1,0,80,-0.6669380617
1,0,81,-0.9425194911
1,0,82,-0.9873392775
1,0,83,-0.7904239742
1,0,84,-0.399985315
1,0,85,0.0883836993
1,0,86,0.5551133015
1,0,87,0.8859318073
1,0,88,0.9998433086
1,0,89,0.8689582973
1,0,90,0.5253219888
1,0,91,0.0530685362
1,0,92,-0.4321779449
1,0,93,-0.8116121923
1,0,94,-0.9923354692
1,0,95,-0.9301004142
1,0,96,-0.6401443395
1,0,97,-0.1934586046
1,0,98,0.3005925437
1,0,99,0.7210481539
1,0,100,0.9649660285
1,0,101,0.972626565
1,0,102,0.7421541968
1,0,103,0.3299765977
1,0,104,-0.1629907808
1,0,105,-0.6160523317
1,0,106,-0.9182827862
1,0,107,-0.9956855884
1,0,108,-0.8293098329
1,0,109,-0.459890107
1,0,110,0.0221267563
1,0,111,0.4987262179
1,0,112,0.8532201077
1,0,113,0.9988159581
1,0,114,0.899866827
1,0,115,0.5805989127
1,0,116,0.1191801354
1,0,117,-0.3714180955
1,0,118,-0.771080223
1,0,119,-0.9819550195
1,0,120,-0.9524129804
1,0,121,-0.6896870271
1,0,122,-0.2581016359
